Aerodactyl;Vinci 5 raid/Utilizza un ogetto per evolvere un Pokemon;0
Anorith;Effettua 3 ottimi tiri/Cattura 7 Pokemon di tipo Volante, Psico o Buio;0
Bidoof;Effettua 5 bei tiri;0
Bulbasaur;Potenzia i Pokemon 5 volte/Vinci una sfida in palestra;0
Chansey;Fai schiudere 5 uova;1
Charmander;Potenzia i Pokemon 5 volte/Vinci una sfida in palestra;0
Cubone;Usa 5 baccalampon per catturare un Pokemon;0
Dratini;Cattura un Pokemon di tipo Drago;1
Drowzee;Partecipa ad un raid;0
Eevee;Evolvi un Pokemon;0
Electabuzz;Utilizza una mossa caricata superefficace in 7 lotte;0
Exeggcute;Fai schiudere un uovo;0
Gastly;Effettua 3 ottimi tiri/Invia 2 pacchi amicizia;0
Growlithe;Usa 5 bacche per catturare un Pokemon;0
Houndour;Cattura 10 Pokemon;0
Jynx;Vinci 3 sfide in palestra;0
Kabuto;Cattura 10 Pokemon di tipo Ghiaccio;0
Lapras;Vinci 5 sfide in palestra;1
Larvitar;Effettua 3 tiri eccellenti di fila;1
Lileep;Effettua 3 ottimi tiri;0
Machop;Lotta in una palestra 5 volte;0
Magikarp;Cattura 10 Pokemon/Usa 10 baccananas per catturare un Pokémon;0
Magmar;Fai schiudere 3 uova;0
Magnemite;Cattura 5 Pokemon di tipo Lotta;0
Manectric;Effettua uno scambio Pokemon;0
Mankey;Lotta in una palestra;0
Omanyte;Vinci un raid di livello 3 o superiore;0
Onix;Effettua 3 tiri ottimi di fila;0
Poliwag;Cattura 5 Pokemon potenziati dalle condizioni atmosferiche;0
Sandshrew;Cattura 10 Pokemon di tipo Terra;0
Snubbull;Fai schiudere un uovo;0
Spinda;Lancia 5 palle curve di fila con risultato ottimo;1
Squirtle;Potenzia i Pokemon 5 volte/Vinci una sfida in palestra;0
Starmie;Cattura 5 Pokemon di tipo Normale, Elettro o Veleno;0
Sunkern;Evolvi un Pokemon;0
Tentacruel;Guadagna 5 caramelle camminando con il compagno;0
Voltorb;Effettua 5 bei tiri;0
Vulpix;Cattura 5 Pokemon potenziati dalle condizioni atmosferiche;0
